,ds,qid,q,reasons
0,dl19_bm25_bertscore_umbrela_0.3,1037798,who is robert gray,"['ambiguity due to multiple people named robert gray', 'verification complexity across sources', 'limited public information on robert gray', 'conflicting biographical details', 'need for contextual clues', 'lack of reliable sources']"
1,dl19_bm25_bertscore_umbrela_0.3,1106007,define visceral?,"['lack of reliable sources', 'conflicting biographical details', 'limited public information on robert gray', 'verification complexity across sources', 'need for contextual clues', 'ambiguity due to multiple people named robert gray']"
2,dl19_bm25_bertscore_umbrela_0.3,1110199,what is wifi vs bluetooth,"['lack of reliable sources', 'conflicting biographical details', 'limited public information on robert gray', 'verification complexity across sources', 'need for contextual clues', 'ambiguity due to multiple people named robert gray']"
3,dl19_bm25_bertscore_umbrela_0.3,1113437,what is physical description of spruce,"['lack of reliable sources', 'verification complexity across sources', 'need for contextual clues']"
4,dl19_bm25_bertscore_umbrela_0.3,1114646,what is famvir prescribed for,"['lack of reliable sources', 'verification complexity across sources', 'need for contextual clues']"
5,dl19_bm25_bertscore_umbrela_0.3,1115776,what is an aml surveillance analyst,"['lack of reliable sources', 'verification complexity across sources', 'need for contextual clues']"
6,dl19_bm25_bertscore_umbrela_0.3,1121709,what are the three percenters?,"['lack of reliable sources', 'verification complexity across sources', 'need for contextual clues']"
7,dl19_bm25_bertscore_umbrela_0.3,405717,is cdg airport in main paris,"['verification complexity across sources', 'need for contextual clues', 'lack of reliable sources']"
8,dl19_bm25_bertscore_umbrela_0.3,443396,lps laws definition,"['lack of reliable sources', 'verification complexity across sources', 'need for contextual clues']"
9,dl19_bm25_bertscore_umbrela_0.3,451602,medicare's definition of mechanical ventilation,"[""specificity of Medicare's definition vs. general medical terms"", 'differentiation from regulatory/medical definitions', ""ambiguity in Medicare's definition"", 'lack of reliable sources', 'verification complexity across sources', 'need for contextual clues']"
10,dl19_bm25_bertscore_umbrela_0.3,489204,right pelvic pain causes,"[""ambiguity in Medicare's definition"", 'lack of reliable sources', 'verification complexity across sources', 'differentiation from regulatory/medical definitions', 'need for contextual clues', ""specificity of Medicare's definition vs. general medical terms""]"
11,dl19_bm25_bertscore_umbrela_0.3,915593,what types of food can you cook sous vide,"[""ambiguity in Medicare's definition"", 'lack of reliable sources', 'verification complexity across sources', 'differentiation from regulatory/medical definitions', 'need for contextual clues', ""specificity of Medicare's definition vs. general medical terms""]"
12,dl19_bm25_bertscore_umbrela_0.3,962179,when was the salvation army founded,"[""ambiguity in Medicare's definition"", 'lack of reliable sources', 'verification complexity across sources', 'differentiation from regulatory/medical definitions', 'need for contextual clues', ""specificity of Medicare's definition vs. general medical terms""]"
13,dl19_bm25_bertscore_umbrela_0.3,87452,causes of military suicide,"['lack of reliable sources', 'verification complexity across sources', 'differentiation from regulatory/medical definitions', ""specificity of Medicare's definition vs. general medical terms"", ""ambiguity in Medicare's definition"", 'need for contextual clues']"
14,dl19_bm25_bertscore_umbrela_0.3,131843,definition of a sigmet,"['lack of reliable sources', 'verification complexity across sources', 'differentiation from regulatory/medical definitions', ""specificity of Medicare's definition vs. general medical terms"", ""ambiguity in Medicare's definition"", 'need for contextual clues']"
15,dl19_bm25_bertscore_umbrela_0.3,146187,difference between a mcdouble and a double cheeseburger,"['brand-specific terminology', 'ambiguity in term definitions', 'need for contextual clues', 'lack of standardized definitions', 'verification complexity']"
