,Accuracy,Precision,Recall,F1 Score
up-to-date information needed,0.84,0.875,0.7,0.7777777777777777
technical accuracy required,0.7,1.0,0.6341463414634146,0.7761194029850745
risk of misinformation,0.78,0.9714285714285714,0.7727272727272727,0.8607594936708862
numerical data extraction,0.9,1.0,0.7222222222222222,0.8387096774193548
specific product term,0.78,0.6818181818181818,0.7894736842105263,0.7317073170731707
ambiguous subject reference,0.88,0.6363636363636364,0.7777777777777778,0.7000000000000001
quantitative data needed,0.86,1.0,0.631578947368421,0.7741935483870968
Specific and niche topic,0.72,0.9375,0.7142857142857143,0.8108108108108109
Query unrelated to provided criteria,0.94,0.0,0.0,0.0
No relevant passage context,0.72,0.4117647058823529,0.6363636363636364,0.5
