combination, ,query,dataset,one_shot_labels,up-to-date information needed,technical accuracy required,risk of misinformation,numerical data extraction,specific product term,ambiguous subject reference,quantitative data needed,Specific and niche topic,Query unrelated to provided criteria,No relevant passage context,active_reasons
h2g,1106979,define pareto chart in statistics,dl20_unicoil_bertscore_umbrela_0.3,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]",0,1,1,0,1,0,0,1,0,0,"Technical accuracy, Risk of misinformation, Specific product term, Niche topic"
,,ANNOTATION:,,,,TRUE,TRUE,,TRUE,,,TRUE,,,
h2g,190623,for what is david w. taylor known,dl21_bm25_bertscore_umbrela_0.3,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0,0,1,0,0,1,0,1,0,0,"Risk of misinformation, Subject ambiguity, Niche topic"
,,ANNOTATION:,,,,,TRUE,,,TRUE,,TRUE,,,
h2r,935353,when and where did the battle of manassas take place,dl21_distilbert-tas-b_bertscore_umbrela_0.3,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",0,1,0,1,0,0,1,0,0,0,"Technical accuracy, Numerical data extraction, Quantitative data"
,,ANNOTATION:,,,,,,,,,,TRUE,,TRUE,
h2j,493490,schizandra berry benefits,dl21_unicoil_binary_umbrela_0.3,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 0]",1,1,1,1,1,0,1,1,0,0,"Up-to-date information, Technical accuracy, Risk of misinformation, Numerical data extraction, Specific product term, Quantitative data, Niche topic"
,,ANNOTATION:,,,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,
h2r,337656,how old was the elephant man when he died,dl21_distilbert-tas-b_binary_umbrela_0.3,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]",0,1,1,1,0,0,1,1,0,0,"Technical accuracy, Risk of misinformation, Numerical data extraction, Quantitative data, Niche topic"
,,ANNOTATION:,,,,TRUE,TRUE,TRUE,,,,TRUE,,,
h2r,2055480,how many incidents of corneal abrasion,dl22_distilbert-tas-b_bertscore_umbrela_0.3,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",1,1,1,1,0,0,1,1,0,1,"Up-to-date information, Technical accuracy, Risk of misinformation, Numerical data extraction, Quantitative data, Niche topic, Missing context"
,,ANNOTATION:,,,FALSE,FALSE,TRUE,TRUE,,,,TRUE,,TRUE,
h2r,1107704,what was the main benefit of a single european currency?,dl21_unicoil_binary_umbrela_0.3,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,0,1,0,0,0,0,1,0,0,"Risk of misinformation, Niche topic"
,,ANNOTATION:,,,,,TRUE,,,,,,,,
h2j,1114819,what is durable medical equipment consist of,dl19_bm25_binary_umbrela_0.3,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0]",1,1,1,0,1,0,0,1,0,0,"Up-to-date information, Technical accuracy, Risk of misinformation, Specific product term, Niche topic"
,,ANNOTATION:,,,TRUE,TRUE,,,TRUE,,,TRUE,,,
h2g,390360,ia suffix meaning,dl20_unicoil_bertscore_umbrela_0.3,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",0,1,1,0,0,0,0,1,0,0,"Technical accuracy, Risk of misinformation, Niche topic"
,,ANNOTATION:,,,,,TRUE,,,TRUE,,,,TRUE,
h2r,2037609,define unstop,dl22_unicoil_bertscore_umbrela_0.3,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]",0,1,1,0,0,1,0,1,0,0,"Technical accuracy, Risk of misinformation, Subject ambiguity, Niche topic"
,,ANNOTATION:,,,,,TRUE,,,TRUE,,TRUE,,TRUE,
h2r,2036182,number of instagram post about unicorn frappuccino,dl22_distilbert-tas-b_bertscore_umbrela_0.3,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 0]",1,1,1,1,1,0,1,1,0,0,"Up-to-date information, Technical accuracy, Risk of misinformation, Numerical data extraction, Specific product term, Quantitative data, Niche topic"
,,ANNOTATION:,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,
h2r,2037924,what can you do with heart of palm,dl22_unicoil_bertscore_umbrela_0.3,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 0]",0,1,1,1,1,0,1,1,0,0,"Technical accuracy, Risk of misinformation, Numerical data extraction, Specific product term, Quantitative data, Niche topic"
,,ANNOTATION:,,,,TRUE,TRUE,,TRUE,,,TRUE,,TRUE,
h2r,2039908,what is the name of a baby nurse,dl22_unicoil_bertscore_umbrela_0.3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,None
,,ANNOTATION:,,,,,,,TRUE,TRUE,,,,TRUE,
h2r,877809,what metal are hip replacements made of,dl20_unicoil_bertscore_umbrela_0.3,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0]",1,1,1,0,1,0,0,1,0,0,"Up-to-date information, Technical accuracy, Risk of misinformation, Specific product term, Niche topic"
,,ANNOTATION:,,,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,
h2g,2049687,what vaccination should u give show piglets,dl22_unicoil_bertscore_umbrela_0.3,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1]",1,1,1,0,1,1,0,1,0,1,"Up-to-date information, Technical accuracy, Risk of misinformation, Specific product term, Subject ambiguity, Niche topic, Missing context"
,,ANNOTATION:,,,TRUE,FALSE,,,,TRUE,,FALSE,,FALSE,
h2r,405717,is cdg airport in main paris,dl19_bm25_bertscore_umbrela_0.3,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0,1,1,0,0,0,0,0,0,0,"Technical accuracy, Risk of misinformation"
,,ANNOTATION:,,,,,TRUE,,,,,,,,
h2r,1071750,why is pete rose banned from hall of fame,dl20_unicoil_binary_umbrela_0.3,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]",0,1,1,0,1,0,0,1,0,0,"Technical accuracy, Risk of misinformation, Specific product term, Niche topic"
,,ANNOTATION:,,,,,TRUE,,,,,TRUE,,FALSE,
h2g,540006,was friedrich nietzsche an atheist,dl21_bm25_bertscore_umbrela_0.3,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",0,1,1,0,0,0,0,1,0,0,"Technical accuracy, Risk of misinformation, Niche topic"
,,ANNOTATION:,,,,TRUE,TRUE,,TRUE,,,TRUE,,,
h2r,935964,when are whales most active for whale watching in massachusetts,dl21_bm25_binary_umbrela_0.3,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",1,1,1,1,0,0,1,1,0,1,"Up-to-date information, Technical accuracy, Risk of misinformation, Numerical data extraction, Quantitative data, Niche topic, Missing context"
,,ANNOTATION:,,,TRUE,,,TRUE,,,TRUE,TRUE,,,
